Trade name,INCI,Other designations,Other preservative trade names,CAS#,Type,Formula layer,Organic formulation,Butter type,Preservative type,Surfactant type 1,Surfactant type 2,Plant part,Process,Scent,Perfume note,Color,Presentation,Appearance,Melting point °C,Viscosity,Density,Saponification value,Acid value,Molecular weight,Description,Composition,Characteristics,Functions,Aroma-psychology - promotes:,Aroma-psychology - counteracts:,Properties/actions,Uses,Type of formulation,Mask usage,Solubility,Solidifies at,Temperature stability,Absorption rate,Iodine value - highest,Iodine value - lowest,Iodine value,pH as supplied,Application pH,Stable within a pH range of,Recommended dosage,Heat sensitive,Formulation tips,Heat and hold,Hazards / Safety data,Shelf life,Storage,Conservation tips,Co-X,Interchangeable with,Use with suggested chelator,Use with following preservatives,Compatibility with other surfactants,Incompatibility,Attention,Docs.,Photo(s),Link #1,Link #2,Studies,Stock,Notes,Alpha-Linolenic Acid avg,Arachidic Acid avg,Arachidonic Acid avg,Behenic Acid avg,Brassic Acid avg,Capric Acid avg,Caproic Acid avg,Caprylic Acid avg,Eicosadienoic Acid avg,Eicosatrienoic Acid avg,Elaidic Acid avg,Eleostearic Acid avg,Erucic Acid avg,Gadoleic/9-Eicosenoic Acid avg,Gamma-Linolenic Acid avg,Gondoic/11-Eicosenoic Acid avg,Lauric Acid avg,Lignoceric/Tetracosanoic Acid avg,Linoleic Acid avg,Myristic Acid avg,Nervonic Acid avg,Oleic Acid avg,Palmitic Acid avg,Palmitoleic Acid avg,Punicic Acid avg,Ricinoleic Acid avg,Stearic Acid avg,Stearidonic Acid avg,Vaccenic Acid avg,Unsaponifiables avg,Oil high in...,Blends well with,Stock origin,Active matter,Clay type,Safety - Therapeutic status,Safety - Skin irritation,Safety - Skin sensitization,Safety - Skin photosensitization,Dryness,Emulsion type,Use with,pH modifier
Cupuaçu butter,Theobroma grandiflorum (Cupuacu) Butter,,,,Butter,Foundation,,Semi hard,,,,,,"Chocolatey,Sweet",,"Off white,Yellow beige",,Hard butter with a waxy appearance at room temperature.,32˚C - 36˚C,,0.89,188-198,,,"The Theobroma grandifolium , commonly called Cupuaçu , is a tree of the same family as cocoa that are found in northern Brazil in the wild.

The fruit Cupuaçu's are oval and can weigh up to 1.5 kg. 

Their very aromatic pulp is frequently used in South America to make ice cream , refreshing drinks , liqueurs and sweets . 

But it is in the  heart of the pulp  that we will find about  fifty small beans rich  in an  original  and  very fragrant  butter: Cupuaçu butter with delicious  cocoa flavors  with which we sometimes make  chocolate.  (locally called cupulate)! It is for its plumping and soothing properties out of the ordinary that we propose to discover this butter came straight from the Amazon. Its characteristics are close to those of cocoa butter , it can be used to complete its action , or for thereplace, and  thus create exceptional skin care.","Other active constituents :

Phytosterols (beta-sitosterol, stigmasterol, campesterol): improve the barrier function of the skin and microcirculation, slow skin aging, anti-inflammatory.
Polyphenols (flavonols including catechin, epicatechin, quercetin derivatives): powerful antioxidants, free radical scavengers, help restructure the skin by stimulating collagen synthesis.","Creamy,Non-greasy","co-emulsifier,emulsion stabilizer",,,"anti-aging,calming; soothing,emollient,hair lustre,hair nourishing,hair protection,""increases hair elasticity, manageability and shine"",plumping,prevents wrinkles,protecting,skin hydration,soothing","chapped lips,colored hair,curly hair,damaged hair,damaged skin,""damaged, coarse, coily or frizzy hair"",dry hair,dry skin,helps prevent split ends,mature skin,premature aging,sensitive skin,split ends repair,sun damage","Shampoo,Conditioner,Balms,Creams,Hair mask",,,,,,,,,,,,,❌,,,,,,,,Lanolin,,,,,,,cupuacu.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/6TA4oH2MecUtKCnwmSfLog/GEOymrDQFk8LpK9ZnScDaZKu7tt8wi3CsQ5Or4vXg-U16LejIQmJJaqftZnhMT_qWJ0rMl6zGAjAKyPyORXxyp_Jr53X536dx84Bo816Wns/hsH4rD2dfK9XkttqTI22v0JRJB_vUDtJyxebj4w--Aw),https://www.aroma-zone.com/info/fiche-technique/beurre-vegetal-cupuacu-aroma-zone,,,☠️ Cupuaçu butter / 44,,4.95,4.3,,0.5,,,,,,,,,,,,,22.5,,,10,,30,9,,,,20.5,,,,,,Brazil,,,,,,,,,,
Cypress Blue EO,Callitris intratropica,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,wood,steam distilled,"Balsamic,Deep,Fresh,Fruity,Smoky,Sweet,Woody",Middle,Azure blue,,,,thin-medium,,,,,"The blue Cypress, Callitris intratropica is from the Greek word calli or beautiful and treis or three, alluding to the beautiful 3-fold arrangements of its parts, leaves i.e. scales and intratropica within the tropics. (http://jeanne-blog.com/cypress-and-blue-cypress-eo/)",,Scent fixative,fixative,,,"analgesic,anti-dandruff,anti-inflammatory,anti-irritant,antiviral,astringent,firming,reduce muscle pain,sebum regulator","hair - dandruff,mature skin,mosquito repellent,muscle aches,oily hair,oily skin,premature aging,scaly scalp",,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,blue cypress.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/1t0FHLOrLpfBos__05oUTA/pZNREwj4MN5KQoRJiwo9Atayz3_Qtfv1SZy7HO9CtTkPdiW_-AZfbzkiqncFvywDbw9KCHnkta3OZ65QV2r4B6GJSMvWOoRGA9y3w4wz8Lw/eWBRcINNCR36wY7w8UN6DrUDAmrmblraol4SuOZtk9U),,,,☠️ Cypress Blue EO / 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ylang Ylang nr. 1 EO,Spruce (Black) EO,Sandalwood (Royal Hawaiian) organic EO,Sandalwood (Australian) EO,Rosemary ct. cineole EO,Rose (Bulgarian) Absolute,Pine (Scotch) EO,Pine (Pinyon) EO,Pepper (Black) EO,Patchouli EO,Oakmoss absolute,Neroli EO,Marjoram (Sweet) EO,Lime EO,Lemon EO,Lavender EO,Labdanum Absolute,Juniper Berry EO,Jasmine Absolute,Grapefruit EO,Geranium EO,Frankincense (Serrata) EO,Frankincense (Sacra) EO,Frankincense (Frereana) EO,Frankincense (Carterii) EO,Fir Balsam EO,Clary Sage EO,Chamomile (Roman) EO,Cedarwood (Himalayan) EO,Cardamom EO,Bergamot non phototoxic EO,Bergamot EO,Amyris EO",,,,,Mild,Moderate,Not photosensitizing,,,,
Cypress EO,Cupressus sempervirens,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,leaves,steam distilled,"Fresh,Spicy,Woody",Middle,,,,,,,,,,,,,,"balance,comfort,direction,patience,peace,self-confidence,sensitivity,stability,strength,trust,willpower,wisdom","distraction,emotional frustration,fear,grief,instability,lack of concentration,lethargy,timidity","astringent,stimulating,toning","acne-prone skin,combination skin,congested pores,improves skin tone,oily skin,seborrheic dermatitis",,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,Cypress.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/1zX8dn-CSbygcBqGDOX36g/r77SJxwIuZux5puj48k57xP1GLnBSsG1-vfxwUhYypooWumSvoDvyk_GYLE2V8G32pnbSPw-2Evph6KFopfu2N-7ebuM3JIzz4HqrEJeam4cWinj3bEfRNsSzKu5Me7n97MxqLi_BDhfhYabnfRaEg/OIypRQ3f221b4WuCmGRlNOBrD-THRZz7MUWfbmXDrGM),,,,☠️ Cypress EO / 82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mild,Moderate,Not photosensitizing,,,,
D'Orientine,Caprylic/Capric Triglyceride (and) Phoenix Dactylifera (Date) Seed Extract,,,,Active,Functional,Accepted,,,,,,,Slight,,"Light yellow,Light green",Liquid,Clear liquid,< 32°F (0°C),,,,,,"D'Orientine S is a patented, plant-derived cosmetic active ingredient extracted from the date-palm kernel (
Phoenix Dactylyfera
) with clinically proven anti-wrinkle efficacy and free radical scavenging properties.  Its unique complex of 7 natural compounds work synergistically to delay the visible signs of aging.
Phyto Compounds:

Phytosterols         Barrier function
Phytosteroids       Hormone-like activity
Isoflavones           Anti-Aging
Ursolic Acid          Regenerating
Policosanols        Neuro-immune system
Tocotrienols         Antioxidant
Vitamin A               Antioxidant
Properties

Decreases skin wrinkles rapidly and significantly
Slows the effects of aging better than DHEA on ex-vivo skin
Increases type I collagen synthesis on ex-vivo skin
Improves the natural defense mechanisms against oxidative stress (SOD and catalase)
Reduces protein carbonylation
Decreased lipid peroxidation
Preservative free
Validated by ECOCERT for use in organic products
Cosmetic Applications

Anti-aging products
Anti-wrinkle products
Smoothing products
Well suited to anhydrous applications
(Lotion Crafter)",,,,,,"anti-oxidant,fights agains free radical damage,reduces wrinkles,stimulates collagen I synthesis","mature skin,premature aging","Anti-aging products,Creams,Face oils",,Oil,,,,,,,,,,1 - 2.5%,❌,Add in oil phase at 65-70°C for o/w emulsion or post emulsification at or below 40°C in w/o emulsion.,,,,,,,,,,,,,tech_data_dorientine.pdf (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/Fpo6470haWEPoz4fDizLAQ/RI77WI1PC-DbydnH-QJ0GNSRmGasiQJr4eNo2Mw5aBluqAfagg6UGcJy3M3h05s6JfDtEg_88LfWKggFRGO9YtqxnccoKfJ9FZn4oZSeldXnBY-4SbOSrzhtU-dET_8k/pnxahgZS9hLQniMB0Cbu8KK_c5QHhjthS-vpnSVPu8I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davana EO,Artemisia paliens,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,"leaves,stems,flowering tops",steam distilled,,Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,Davana.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/9Gk71_Sfx9K8errRPjs4tQ/9aEQPwfTN0tUV-Vw_hMn16Osnryf9w7MlQR5EkQYIc7-HOjjD0kOu4TFLSrrE5KFJFDNYCD9ks2x1w5-C4KsErnPUU-qj7D68tEdBCmdXQXCjpQa8LAjvifHup5c5BbHlgJ99F-0oRB7YnNbjZLPow/JLR1UN7P9I04bZZui3Z_sUwCDR9-jTopSfoZ2Iu4IJ4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not photosensitizing,,,,
Decyl glucoside,Decyl Glucoside,,,,Surfactant,Functional,Accepted,,,"Solubilizer,Surfactant,Co-surfactant",Non-ionic,,,,,Clear,Liquid,,,,,,,,,Decyl glucoside is produced by the reaction of glucose from corn starch with the fatty alcohol decanol which is derived from coconut(s).” (From Wikipedia),"Gentle,High water solubility","foaming booster,increases viscosity",,,,,"Micellar water,Shower gel,Shampoo,Facial cleansing foam,Shaving foam,Makeup remover",,Water,,,,,,,10.5-11.5,,,1-30% (for micellar waters 2-4%),❌,"The pH of the final product should be controlled and reduced according to the product specifications and requirements of all other ingredients, specially the preservative system. (skinchakra)

With a carbon chain length of C8-C12 it has a superior solubility compared to Coco- or lauryl glucoside. It is a foaming and mild surfactant and could be applied as a stand-alone or co-surfactant in all personal care cleansing products such as shampoo, shower gel, facial cleansing foam, shaving foam etc. Because of its high water solubility (even at reduced temperature), we recommend this surfactant specifically for preparation of micellar waters. (skinchakra)

Can be used with Coco betaine.",,,,,,Coco betaine,Caprylyl/capryl glucoside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51-55%,,,,,,,,,
Dermofeel PA-3,"Sodium Phytate, Aqua, Alcohol",,,,Chelator & Preservative booster,Additive,Accepted,,,,,,,,,,,,,,,,,,"Natural chelator PA-3 is an Ecocert certified, globally accepted, palm-free and natural based chelating agent for natural and organic cosmetics. Chelating agents have the ability to complex and inactivate metal ions. Metal ions (entering the cosmetic product from water, from natural ingredients such as clays or pigments) promote oxidation and color change and reduce foaming of soaps and cleansing products. In addition to that, chelating agents, by binding metal ions can weaken cell walls of microorganisms and in boost the preservative system. This mechanism is specially important by application of natural, modern antimicrobial preservatives such as Preservative 1388® Eco .
Less biodegradable chelators like EDTA are mobilizing toxic heavy metals from sediments in sewer systems or waterways. These metals can then re-enter the food chain and subsequently pose a risk for humans and their natural food sources. As a natural ingredient Natural chelator PA-3 is readily biodegradable. The environmental risk of mobilization of heavy metals is therefore minimized.",,,chelator,,,,,,,Water,,,,,,,,,,"0,05%-0,5%",❌,Natural chelator PA-3 has an acidic pH and might reduce the pH of the final product. Apply natural chelator PA-3 in the water phase of the product at any stage to the water phase.,,,,,,,,,"Leucidal Liquid Complete,Dermosoft 1388 Eco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dermofeel® P-30,PCA Glyceryl Oleate,,,,"Others,Thickener / Stabiliser",Functional,Accepted,,,,,,,,,,Liquid,Viscous liquid,,,,,,,"dermofeel® P-30 is a natural based conditioner for hair and skin. In hair care, it has an antistatic and refatting effect and enhances the combing of wet hair. On the skin, it exhibits refatting and TEWL reducing properties and improves skin compatibility. dermofeel® P-30 improves foam creaminess in surfactant based products. At dosage levels above 0.5%, it has a thickening effect. (HLB: ~9)","Natural, based on palm oil derivatives.",,"hair conditioning,improves foam creaminess in surfactant based products,skin conditioning,thickening when used above 0.5%",,,"antistatic,hair and skin conditioner,improved wet hair comb,improves skin compatibility,reduction in transepidermal water loss",,"Hair care,Skin care",,,,,,,,,,,4.0 - 7.0,0.5 - 2%,❌,,,,,,,,,,,,,,technical_solutions_and_ingredients_dermofeel_p-30_dermofeel_sensolv_for_certified_natural_hair_care_products.pdf (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/vr-exQaaFVsCiSRKGnwrSw/Fcn5b28HaikdeEwpvxJ9sIgm6SsH1R-KRR8-UgvBYDgDtFugDeYCVQuhV8_Dh_J5U5ha3vjA8JxctNAoSDuTLVFpFydbEJXJR6LCOKTTE11StUnxhOCHQOrLnDBLwYcT-JJmThq8Egf7FsEmgA_cfcaT67toibddOJC-y7eVz6ukZ6nLQ7lhoU3Ui6d7ygXt2yEPr9sH19LLLNAfOwJjiZZRIu3NwcmjjWkGspt_sy0/6azHgWXf6D4VlSEO1E1jp3y3GUcfKEUlCV7LeAUiV7I),,https://www.dr-straetmans.de/en/products/dermofeel-p-30/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dermofeel® PA-12 ,Sodium Phytate,,,,Chelator & Preservative booster,Additive,Accepted,,,,,,,,,White,Solid,,,,,,,,"Dermofeel® PA-12 is a natural chelating agent and serves as a natural alternative to EDTA. This material is fully neutralized and has a pH of ~12. It acts synergistically in combination with cosmetic antioxidants.



This natural chelating agent is effectively inactivating metal ions by forming by forming a complex between the chelator and the metal. Metals can enter a cosmetic formulation from the production equipment, as impurities from ingredients (e.g. extracts, pigments) and from process water. In a cosmetic formulation metals promote oxidation reactions, may cause discoloration and impair the foaming properties of surfactants.



Dermofeel® PA-12 is used in combination with typical antioxidants (tocopherol, ascobyl palmitate) in all types of formulations that are susceptible for oxidation reactions to protect valuable ingredients like unsaturated oils or fragrance components. In rinse-off products dermofeel®PA-12 is used to maintain the foaming properties in the presence of hard water or to prevent precipitation of insoluble salts of fatty acids in soaps. 



Dermofeel® PA-12 can be added to the water phase during every step in the production phase. Aqueous solutions of dermofeel®PA-12 have a strong alkaline pH. It has to be noted that depending on the dosage the addition of dermofeel® PA-12 can increase the pH of a formulation. This effect needs to be compensated when alkaline sensitive materials are applied in the water phase in the same step of the manufacturing process. ",,,"chelator,foam stabilizing,prevent precipitation of insoluble salts of fatty acids in soaps",,,,,,,Water,,,,,,,12,,,0.05-0.5%,❌,Dermofeel® PA-12 can be added to the water phase during every step in the production phase. Aqueous solutions of dermofeel®PA-12 have a strong alkaline pH. It has to be noted that depending on the dosage the addition of dermofeel® PA-12 can increase the pH of a formulation. This effect needs to be compensated when alkaline sensitive materials are applied in the water phase in the same step of the manufacturing process. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dermosoft 1388 Eco,"Glycerin, Aqua, Sodium Levulinate, Sodium Anisate",,,,Preservative,Additive,Accepted,,"Not broad spectrum for emulsions,Broad spectrum for water based products",,,,,,,,,,,,,,,,"Good as stand alone preservative for all-water products (micellar waters, toners...). Use with GMCY for emultions (GMCY can cause sensitization when used on the face or eye area).",,,,,,,,,,Water,,,,,,,,,5-5.5,3 - 4%,❌,,,,,,,,,Dermofeel PA-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dermosoft® GMCY,
dermosoft® GMCY,Glyceryl Caprylate,,,,"Others,Surfactant,Chelator & Preservative booster",Functional,Accepted,,,Co-emulsifier,,,,,,White,Solid,"White, waxy solid (at 20°C)",,,,,,,"dermosoft® GMCY consists of the 100% plant derived, single ingredient Glyceryl Caprylate.This multifunctional wetting agent provides moisturizing properties and is suitable for many cosmetic applications. It has a co-emulsifying effect in emulsions, solubilizes and pigment dispersions. Moreover, it shows a strong antimicrobial activity and allows to lower the dosage of traditional preservatives or even to replace them completely. dermosoft® GMCY is commonly used in conjunction with Dermosoft 1388 ECO to boost preservative efficacy.
Cosmetic functions:

Wetting and co-emulsifying: Due to an amphiphilic structure, it lowers the surface tension between oil and water phase, building smaller droplets and lowering the energy demand during the emulsification process. Improves solubility and self-emulsification properties in oil based/water free products like bath oils.


Antimicrobial activity

Good skin compatibility Easy to handle: addition to the oil phase or water phase possible 
Processable at lower temperatures (melting point 35°C) Recommended pH range: 4.0 -7.0","100% plant derived, single ingredient Glyceryl Caprylate.
100% naturally derived, ECOCERT/COSMOS approved and compliant.",,"co-emulsifier,improves self-emulsification properties in oil based/water free products,Improves solubility,Improves solubility in oil based/water free products,lowers the surface tension between oil and water phase,optimal dispersion of pigments,solubilizer,strong antimicrobial activity,wetting agent",,,moisturizing,,,,"Water,Oil",,,,,,,,,4.0-7.0,,❌,"Addition to the oil phase or water phase possible. 
Processable at lower temperatures (melting point 35°C).",,Can cause sensitization or stinging when used on the face or eye area.,,,,Dermosoft 1388 Eco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dill  EO,Anethum graveolens,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,seeds,steam distilled,,Middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,Dill .jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/PoLTlSi33eRqReJydqkvHA/NBpQf-u_kdqY2hcvxNqF8mcPMVIbXWe5ZZ-JLgxYqubHzUYsRe2YHI89_DHpEnuy1i9ziF685hy-hkF-FzkAyhumSvw712VYigjYrEVSLYIC8R7xEarcrE3o_Hvj8kgP6UyfvIp6gZ-dS-iNWLvlWg/NPXbIRyzBcbjX03pVwRJi-NUWtp-q6FjrDpVrcHWP08),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not photosensitizing,,,,
Dimethicone,Dimethicone,,,,Others,Functional,Not accepted,,,,,,,,,,,,,,,,,,Silicone,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,"Bamboo Isoflavones,Broccoli Seed Oil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disodium/Sodium Cocoyl Glutamate,"Aqua, Disodium Cocoyl glutamate, Sodium cocoyl glutamate",,,,Surfactant,Functional,Accepted,,,Surfactant,Anionic ,,,,,,Liquid,,,,,,,,"This is a mild, natural and Ecocert certified anionic surfactant based on the amino acid glutamic acid.",,Mild,,,,,,"Shampoo,Shaving foam,Shower gel,Facial cleansing foam,Baby/children care",,Water,,,,,,,9,,,5-25%,❌,In combination with alkyl polyglucosides or betaines in all cleansing products.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-26% (in a pH of about 9),,,,,,,,,
Distilled water,Aqua (Water),,,,Solvent,Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,,,,,Distilled water / 237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon’s Blood Extract - glycerite,"Glycerin, Croton lechleri resin extract",,,,Active,Active botanicals,Accepted,,,,,,,,,Dark red-brown,Liquid,"Liquide visqueux de couleur marron à acajou, conditionné dans un flacon en verre ambré, sans codigoutte, fourni avec un kit de prélèvement (produit visqueux).",,,1.2,,,,"Actif cosmétique antioxydant, régénérant et hydratant.

Extrait de résine amazonienne de Sang du Dragon, cet actif connu pour ses effets régénérant et antioxydants puissants s'incorpore dans vos soins maison pour soulager les peaux irritées, protéger la peau des agressions, lutter contre les signes de l'âge ou encore atténuer l'aspect des vergetures. C'est aussi un actif de choix pour redonner tonus et souplesse aux peaux matures et revitaliser les peaux abîmées. Un actif rare et précieux, inspiré des traditions médicinales d'Amérique latine, avec une très belle activité.

SOIN DE LA PEAU
PROPRIÉTÉS
Antioxydant et protecteur : des études in-vitro démontrent les propriétés anti-radicalaires de l'extrait de Sang du Dragon, dues notamment à sa richesse en polyphénols proanthocyanidiques. Cet extrait permet donc de lutter contre le vieillissement prématuré de la peau dû au stress radicalaire (soleil, pollution, tabac, stress...)
Réparateur cutané : grâce à sa richesse en composés bioactifs, dont la taspine, l'extrait de Sang du Dragon a une activité stimulante sur les fibroblastes, dont il booste le métabolisme et augmente la mobilité, permettant ainsi de lui conférer un pouvoir réparateur et tonifiant cutané.
Régénérant dermique : une étude prouve l’augmentation de la synthèse des constituants essentiels pour maintenir la structure de la peau, tels que le collagène et la fibronectine. La stratification, la cohésion cellulaire et la qualité de l’épiderme sont ainsi améliorées.
Cette régénération en profondeur de la peau permet d'atténuer l'aspect des vergetures..
Anti-âge et tonus cutané: stimule la synthèse de collagène, et redonne tonus aux peaux matures.
UTILISATIONS
S'utilise en tant qu'ingrédient dans vos préparations :

Soins des peaux matures
Soins des peaux exposées à la pollution et au stress
Soins des peaux sujettes à inconfort
Soins réparateurs 
Soins post-épilation
QUELQUES IDÉES
S'utilise en tant qu'ingrédient dans vos préparations :

Crème et lait corps réparatrice
Crème visage désaltérante jeunesse
Soin pour peaux matures
Eau démaquillante pour peaux délicates

Le ""Sang du Dragon"" est le nom donné à la sève de couleur rouge des arbres surnommés Dragonniers. Ces arbres fascinants à l'allure peu ordinaire de parasol géant ont une longévité exceptionnelle et on leur a longtemps attribué des propriétés magiques.

L'utilisation de la sève de Sang du Dragon remonte à l’Antiquité, lorsqu’il était extrait de l’espèce Dracaena cinnabari, poussant sur l’île de Socotra, au Yémen. Les romains associaient au Sang du Dragon des propriétés mystiques dues à sa couleur rouge profonde et l’employaient comme colorant et vernis.

Depuis la découverte de l’Amérique latine et de l’Amazonie, le Sang du Dragon est principalement extrait de l’espèce Croton lechleri, un arbre de taille moyenne rencontré au Pérou, en Colombie, en Bolivie, et en Équateur, et pouvant pousser jusqu’à 1000 mètres d’altitude. En Amérique latine, le Sang du Dragon est  considéré comme  un remède traditionnel retrouvé sur les marchés, que les populations locales utilisent en usage externe et interne. Au Pérou, il a été surnommé « pansement liquide », car il est traditionnellement appliqué sur les bobos pour arrêter les saignements ou pour apaiser les piqûres d’insectes, les démangeaisons, les gerçures, les ulcères veineux, et les brûlures.

Aujourd’hui, des études scientifiques viennent étayer les propriétés du Sang du Dragon en particulier ses effets réparateurs, principalement dus à un polyphénol de la famille des alcaloïdes, la tapsine, régénérant dermique puissant. La sève de Croton lechleri contient d’autres polyphénols de la famille des tannins, tels que les pro-anthocyanidines ou les flavonols, qui lui confèrent un fort pouvoir antioxydant. Le Sang du Dragon est donc un actif de choix pour aider à lutter contre le stress oxydatif et les signes de l’âge. Il est également l'allié idéal pour régénérer les peaux sujettes à inconfort et aide à atténuer l'aspect des vergetures.","Extrait de Croton lechleri sur support hydroglycériné.

Extrait 100% naturel sur support glycérine, sans additif ni conservateur, qualité cosmétique",,,,,"anti-inflammatory,anti-oxidant; pollution; UV light,antimicrobial,increases collagen synthesis,skin toner","anti-aging,improves skin tone,mature skin,premature aging,wrinkles",,checked,Water,,,,,,,,,,2 - 4%,❌,"L'actif Extrait concentré de Sang du Dragon peut être intégré en tant qu'actif dans toutes vos formules contenant de l'eau : crèmes, laits, gels, lotions...

	
INTÉGRER L'ACTIF EXTRAIT CONCENTRE DE SANG DU DRAGON DANS TOUTES VOS FORMULES CONTENANT DE L'EAU
	 Incorporez l'actif Extrait concentré de Sang du Dragon à froid, en fin de formulation.		 Agitez longuement pour bien homogénéiser.",,,,room temperature,,,,,,,,,,"dragon b.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/JZCIuH8HxnsIIq56PDeqGA/OHVo67yd_eT_E1kpAF9W8tyVxAv5tSElHZ7NlrcjHbMFrWYMvkEeA186rmnpM0nj-3MUxc_XJEhK1pKth-jQUDIg2SYomvxDvMcBRFgr2Rk/y8wH3dCA1aCgZ9ZpWW7PBQtwt-U-NWthTMT89Jb2ACI),amazing-trees-dragons-blood71-300x192.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/_etNsh5S2pdcRjzqmIs37Q/aA2Saw51QtqsHnKI06l_t8UShUD3QxEsGjSKZJkXr0mNRU619Rmv9DTG6bC071bU86O0W1BwJDJbo0Ik9FZW084gAgB2ErAbqwvFkf6VXyAwHCXXJLNu4VhphJe68veCOtPuehCWpBNneinphBcIrg/3BQQpIe9Vmj4_T5lAPRIKF3zQ2xFrCqlyZONHxS1wKY)",https://www.aroma-zone.com/info/fiche-technique/actif-cosmetique-extrait-concentre-de-sang-du-dragon-aroma-zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
